Name,Predominant Degree,Highest Degree,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,Undergrad Population,% White,% Black,% Hispanic,% Asian,% American Indian,% Pacific Islander,% Biracial,% Nonresident Aliens,% Part-time Undergrads,Average Cost,Expenditure Per Student,Average Faculty Salary,% Full-time Faculty,% Undergrads with Pell Grant,Completion Rate 150% time,Retention Rate (First Time Students),% Undergrads 25+ y.o.,3 Year Default Rate,Median Debt,Median Debt on Graduation,Median Debt on Withdrawal,% Federal Loans,% Pell Grant Recipients,Average Age of Entry,Average Family Income,Median Family Income,Poverty Rate,Number of Unemployed 8 years after entry,Number of Employed 8 years after entry,Mean Earnings 8 years After Entry,Median Earnings 8 years After Entry
Muskingum University,3,4,Private,Great Lakes,Distant Town,0.7596,21,983,1641,0.8208,0.0585,0.0158,0.0024,0.003,0,0.0286,0.0378,0.1347,33630,8196,7269,0.5963,0.4235,0.4791,0.6832,0.1152,6.6,18751,27000,10250,0.970000029,0.49000001,20.75,74459.31,70305,7.599999905,29,569,35600,34100
National Louis University,3,4,Private,Great Lakes,Large City,0.9881,0,0,1393,0.2441,0.407,0.2513,0.0215,0.0043,0.0072,0.0108,0.0065,0.4372,30180,5779,6104,0.8765,0.487,0.4286,0.7222,0.7898,3.8,16378,19500,14929.5,0.939999998,0.600000024,33.13000107,45871.25,33876.5,10.82999992,182,1161,46700,40700
Nazareth College,3,4,Private,Mid-Atlantic,Large Suburb,0.6839,0,0,1995,0.7268,0.0496,0.0451,0.0246,0.0055,0,0.0145,0.0155,0.0526,41298,11154,7831,0.4491,0.3069,0.6798,0.786,0.0693,2.5,22125,26497.5,8750,0.980000019,0.419999987,21.26000023,82407.74,76650,6.639999866,56,758,40600,39900
Nebraska Wesleyan University,3,4,Private,Great Plains,Large City,0.7689,24,1109,1892,0.8319,0.0291,0.0396,0.0233,0.0026,0.0005,0.0153,0,0.166,36429,6896,6285,0.4538,0.2688,0.6849,0.7753,0.2164,3,19500,27000,11202.5,0.980000019,0.400000006,20.87999916,79498.08,74606,5.690000057,27,592,43500,40800
Neumann University,3,4,Private,Mid-Atlantic,Large Suburb,0.5531,18,861,2462,0.5162,0.1807,0.0276,0.0122,0.0012,0.0004,0.0179,0.015,0.1633,37314,5192,6649,0.3755,0.3874,0.5019,0.6585,0.1733,9.3,20000,27000,9500,0.970000029,0.430000007,21.70000076,79974.68,72393.5,7.230000019,95,859,40300,36400
Nevada State College,3,3,Public,Far West,Large City,0.5037,0,0,3076,0.435,0.1151,0.2185,0.094,0.0059,0.0172,0.0595,0,0.6157,16547,4910,7570,1,0.3299,0.1379,0.6752,0.5792,6.9,11819.5,24756,10391,0.860000014,0.529999971,23.05999947,61238.62,45534,6.380000114,0,0,0,0
New England College,3,4,Private,New England,Distant Rural,0.8997,0,0,1465,0.6751,0.1823,0.0628,0.0143,0.0089,0.0007,0.0109,0.041,0.0369,46261,5347,6008,0.4714,0.448,0.3979,0.616,0.3545,7.8,9746,27000,8540,0.99000001,0.360000014,22.60000038,81948.75,72232.5,4.670000076,44,378,34500,31200
New Jersey City University,3,4,Public,Mid-Atlantic,Large City,0.4129,0,917,6373,0.2504,0.2084,0.3435,0.0854,0.0022,0,0.0108,0.0071,0.2512,19058,9780,9101,0.9798,0.561,0.3174,0.6952,0.4109,6.5,13250.5,18000,10750,0.810000002,0.730000019,24.54000092,41680.76,30520,12.72000027,241,1670,40900,38800
New Jersey Institute of Technology,3,4,Public,Mid-Atlantic,Large City,0.6547,26,1142,6449,0.3269,0.0893,0.2008,0.1982,0.0006,0.0008,0.0262,0.0456,0.1194,26700,8337,11262,0.6347,0.3898,0.5767,0.8603,0.184,4.9,16145,21182.5,11000,0.860000014,0.629999995,21.53000069,60206.72,43773,7.800000191,113,1291,59400,58300
New Mexico Institute of Mining and Technology,3,4,Public,Southwest,Remote Town,0.4136,26,1200,1490,0.5919,0.0201,0.2544,0.0289,0.0362,0.0007,0.0369,0.0295,0.0483,17600,9268,6908,0.6158,0.2952,0.4417,0.7659,0.1827,6.9,9283,16083,7500,0.769999981,0.610000014,21.52000046,60441.2,42214,13.43999958,27,290,52800,48600
New Mexico State University-Main Campus,3,4,Public,Southwest,Mid-size Suburb,0.852,21,982,12886,0.3225,0.0302,0.52,0.0116,0.0242,0.0027,0.0126,0.0416,0.1297,17290,8494,7954,0.9384,0.4342,0.4328,0.7399,0.2374,19.9,11147,19500,8500,0.75,0.810000002,23.51000023,38201.24,26390.5,17.79999924,828,4902,35100,30200
New York Institute of Technology,3,4,Private,Mid-Atlantic,Large Suburb,0.7407,22,1039,4307,0.1941,0.078,0.1261,0.127,0.0035,0.0016,0.0098,0.1193,0.1556,39014,15085,11418,0.1962,0.3724,0.4705,0.7208,0.1667,7.1,17250,25485,11283,0.930000007,0.540000021,26.07999992,56926.77,40609.5,8.800000191,253,2196,55800,46800
New York University,3,4,Private,Mid-Atlantic,Large City,0.2605,30,1352,22172,0.3837,0.0467,0.1052,0.1837,0.0024,0.0009,0.0346,0.1363,0.0492,60059,28606,13434,0.4045,0.1987,0.8331,0.925,0.0622,2.5,21500,23250,15775,0.970000029,0.370000005,20.72999954,99964.68,74827,7.400000095,579,4758,64600,52500
Newberry College,3,3,Private,Southeast,Distant Town,0.5908,20,938,1032,0.6085,0.2597,0.0407,0.0078,0.0058,0,0.0223,0.0339,0.0242,37837,5913,5099,1,0.4655,0.4458,0.6864,0.0751,15,21492,27000,11000,0.949999988,0.560000002,19.93000031,66769.16,53768,9.640000343,35,354,30900,28900
Newman University,3,4,Private,Great Plains,Large City,0.4472,24,1079,1276,0.6622,0.0564,0.127,0.0509,0.0125,0.0016,0.0298,0.0556,0.1324,33524,4504,5684,1,0.2253,0.5188,0.7263,0.1606,5.8,16945,21625,11000,0.939999998,0.579999983,25.26000023,57296.43,43838,6.949999809,63,550,41500,39500
Niagara University,3,4,Private,Mid-Atlantic,Large Suburb,0.6633,23,1038,2841,0.7554,0.0574,0.0429,0.0141,0.0092,0.0004,0.0165,0.0429,0.0465,38829,7355,8135,1,0.2916,0.6513,0.8072,0.0839,6.7,21000,25650,12500,0.980000019,0.389999986,20.04000092,81807.37,77507.5,6.960000038,75,1121,39300,37600
Nicholls State University,3,4,Public,Southeast,Small City,0.8694,22,1030,5682,0.6765,0.2054,0.0301,0.0128,0.0176,0.0007,0.0266,0.0162,0.1716,16071,5318,5785,1,0.3935,0.4126,0.6812,0.1741,8.6,11555,21888.5,9193,0.839999974,0.709999979,21.88999939,45301.91,32069.5,15.11999989,236,1872,36600,32500
Nichols College,3,4,Private,New England,Large Suburb,0.8047,21,940,1260,0.8151,0.0556,0.073,0.0143,0.004,0.0024,0.0278,0.0079,0.1278,44886,4681,5479,0.4646,0.3502,0.4656,0.6939,0.1374,12.1,15782.5,27000,8750,0.980000019,0.379999995,20.13999939,87096.01,81300.5,5.389999866,36,453,44600,41900
Norfolk State University,3,4,Public,Southeast,Mid-size City,0.6499,18,879,5955,0.0502,0.8381,0.0262,0.0049,0.0022,0.0015,0.0291,0.0047,0.1666,18837,7209,7608,1,0.6169,0.3443,0.7203,0.2745,20.6,21500,31000,15750,0.920000017,0.730000019,21.81999969,46384.91,36184,11.52000046,238,1992,33800,30300
North Carolina A & T State University,3,4,Public,Southeast,Large City,0.6964,19,902,8577,0.0429,0.8681,0.0208,0.0069,0.0034,0.001,0.0203,0.0178,0.0655,15313,9006,8227,0.7231,0.5878,0.4289,0.7977,0.1128,18,19843,23005.5,19500,0.949999988,0.709999979,20.61000061,50618.06,37668.5,10.72999954,341,3148,34100,29900
North Carolina Central University,3,4,Public,Southeast,Mid-size City,0.5033,18,859,5876,0.056,0.8439,0.0238,0.0095,0.0036,0,0.0289,0.0056,0.115,17873,10084,7653,0.7302,0.635,0.3972,0.7318,0.2124,16.8,21670,30203,14814.5,0.959999979,0.75,22.82999992,40378.24,29880,10.48999977,210,1577,32500,30200
North Carolina State University at Raleigh,3,4,Public,Southeast,Large City,0.5001,28,1229,22977,0.7512,0.0691,0.0427,0.0523,0.0045,0.0006,0.0314,0.0267,0.0717,20511,13831,9774,0.8813,0.2247,0.7359,0.9258,0.0974,4.1,17750,20500,12000,0.910000026,0.469999999,20.54000092,76057.18,66351,7.360000134,306,4025,49900,44100
North Carolina Wesleyan College,3,3,Private,Southeast,Small City,0.4676,18,863,1602,0.3034,0.4925,0.0237,0.0044,0.0094,0.0006,0.0131,0.0312,0.231,36686,5604,5438,0.213,0.6787,0.332,0.4887,0.5487,20.2,13514,22920,9500,0.959999979,0.649999976,25.52000046,51983.81,38164.5,10.15999985,65,562,39400,35100
North Central College,3,4,Private,Great Lakes,Mid-size City,0.6365,25,1125,2700,0.7752,0.0348,0.0826,0.0207,0.0026,0.0007,0.0304,0.013,0.0463,41218,8407,7337,0.4926,0.2388,0.639,0.788,0.0597,5.4,20000,25002,8333,0.980000019,0.360000014,20.72999954,88589.6,83750,3.579999924,60,745,41800,40100
North Central University,3,3,Private,Great Plains,Large City,0.9521,23,1044,1106,0.7007,0.0289,0.0533,0.0127,0.0036,0.0009,0.0307,0.009,0.0515,28800,5608,7177,0.3307,0.398,0.4549,0.7286,0.0623,4.2,19500,27000,9500,0.959999979,0.529999971,20.42000008,67616.56,60825,5.789999962,48,450,30700,28700
North Dakota State University-Main Campus,3,4,Public,Great Plains,Mid-size City,0.841,24,1091,11629,0.8758,0.0244,0.0141,0.0132,0.0068,0.0004,0.0177,0.036,0.0832,18277,7707,8163,0.9872,0.2251,0.5308,0.7805,0.0888,3.3,17000,25050,8250,0.980000019,0.430000007,20.52000046,76035.12,71695,6.590000153,182,3463,47900,41400
North Greenville University,3,4,Private,Southeast,Fringe Rural,0.5791,25,1137,2068,0.8356,0.0711,0.0218,0.0044,0.0039,0.0015,0,0.0029,0.0363,28373,4680,5568,1,0.3817,0.5464,0.7332,0.0363,6.9,12000,20200,9500,0.839999974,0.620000005,20.39999962,59609.92,53275,8.829999924,82,651,28700,27000
North Park University,3,4,Private,Great Lakes,Large City,0.5234,22,1030,2190,0.5237,0.089,0.1845,0.053,0.0037,0.0041,0.0306,0.0429,0.1507,31065,6660,7535,1,0.3695,0.563,0.8064,0.2064,5.9,18750,25500,10500,0.959999979,0.469999999,22.29999924,73119.69,60232.5,7.869999886,73,697,40700,37300
Northeastern Illinois University,3,4,Public,Great Lakes,Large City,0.5981,19,890,8827,0.3694,0.1022,0.3506,0.0947,0.0022,0.0031,0.0176,0.0358,0.431,22273,11837,6988,0.6473,0.4823,0.2034,0.61,0.448,6.7,11643.5,15000,8940,0.540000021,0.779999971,24.63999939,35049.57,25711.5,11.56000042,331,2059,35400,33100
Northeastern State University,3,4,Public,Southwest,Remote Town,0.7337,21,970,7215,0.5185,0.0488,0.0371,0.0172,0.2266,0.0006,0.111,0.0147,0.2678,13296,7338,5721,0.609,0.4926,0.2969,0.6807,0.3923,16.4,12500,18471,9500,0.810000002,0.769999981,24.20000076,38778.6,28559,12.48999977,493,3122,35600,33000
Northeastern University,3,4,Private,New England,Large City,0.3231,32,1394,13204,0.4951,0.0344,0.0663,0.0996,0.0008,0.0002,0.0354,0.1761,0,55914,13078,11581,0.7425,0.1424,0.8256,0.9553,0.0152,4.2,25759.5,28804.5,24500,0.980000019,0.310000002,20.93000031,99407.61,83394,5.690000057,313,4676,60600,56400
Northern Arizona University,3,4,Public,Southwest,Small City,0.9137,23,1050,22011,0.628,0.0325,0.1925,0.016,0.031,0.0034,0.0478,0.0424,0.1561,22771,6893,7863,0.6172,0.3778,0.4924,0.7178,0.1989,10.2,15000,21450,9500,0.910000026,0.600000024,23.62000084,61101.19,43127,10.52999973,490,3954,38900,36200
Northern Illinois University,3,4,Public,Great Lakes,Small Suburb,0.5613,22,1010,15782,0.5909,0.1672,0.13,0.0485,0.0018,0.0011,0.0293,0.0137,0.1248,27621,12208,7834,0.7883,0.4297,0.5095,0.6646,0.1622,9.4,16500,23500,9500,0.949999988,0.49000001,20.76000023,72317.38,64181,5.800000191,452,5694,42500,39500
Northern Kentucky University,3,4,Public,Southeast,Large Suburb,0.467,22,1024,11976,0.8201,0.0688,0.0244,0.0094,0.0032,0.0013,0.0169,0.0382,0.1912,14603,7303,6780,0.9887,0.3368,0.3792,0.6744,0.2428,9.9,15000,24458.5,9500,0.910000026,0.529999971,22.48999977,62838.79,53630,6.909999847,321,3048,35700,32800
Northern Michigan University,3,4,Public,Great Lakes,Remote Town,0.7313,22,1030,7959,0.8529,0.0237,0.0281,0.0055,0.02,0.0008,0.0188,0.0094,0.0785,18466,6506,7442,0.6967,0.3848,0.4829,0.722,0.1619,12.1,14601,22319,8250,0.949999988,0.569999993,21.34000015,65244.05,57707,6.380000114,323,2698,34100,30800
Northern State University,3,4,Public,Great Plains,Remote Town,0.9334,22,1030,1758,0.8658,0.0176,0.0313,0.0063,0.0159,0.0051,0.0205,0.0375,0.1917,17334,6723,6801,0.9153,0.2255,0.4853,0.7108,0.1769,11.2,12821,25654.5,8660,0.970000029,0.579999983,21.76000023,55427.29,48591.5,9.069999695,68,826,33300,30300
Northwest Missouri State University,3,4,Public,Great Plains,Remote Town,0.7241,23,1050,5274,0.8311,0.0648,0.0296,0.0059,0.0025,0.0013,0.0283,0.022,0.0605,17005,7623,6501,0.8442,0.3557,0.5017,0.6583,0.0451,9.5,14815,24490,9255,0.939999998,0.5,20.31999969,68150.03,62365.5,6.960000038,129,1765,37500,34400
Northwest Nazarene University,3,4,Private,Rocky Mountains,Mid-size Suburb,0.617,25,1079,1251,0.7354,0.0144,0.0751,0.0144,0.0048,0.0032,0.016,0.0192,0.1007,34498,6722,5691,0.9767,0.3735,0.4909,0.7603,0.2991,3.6,19500,26050,14800,0.970000029,0.479999989,22.27000046,71208.46,60526,7.389999866,54,451,37000,32300
Northwest University,3,4,Private,Far West,Large Suburb,0.972,24,1079,1354,0.7312,0.0325,0.079,0.0539,0.0118,0.0103,0.0244,0.0199,0.1093,34608,6881,6395,0.2521,0.4199,0.4294,0.7773,0.3067,4.6,14000,24000,9375,0.970000029,0.479999989,23.19000053,66831.58,56863,5.949999809,78,457,38500,35700
Northwestern College,3,3,Private,Great Plains,Distant Town,0.7609,24,1095,1147,0.8474,0.0227,0.0584,0.0096,0.0035,0,0.0166,0.0279,0.0227,37884,8464,6206,0.9775,0.3222,0.6327,0.7914,0.047,2.4,20500,25250,10500,0.980000019,0.479999989,19.73999977,80605.26,68899,5.320000172,30,512,33800,32600
Northwestern Oklahoma State University,3,4,Public,Southwest,Remote Town,0.598,20,930,2005,0.6673,0.0693,0.0668,0.0065,0.0678,0.005,0.0045,0.0384,0.2439,13065,6634,5246,1,0.4177,0.314,0.5917,0.1892,16,7500,15000,5500,0.75999999,0.720000029,23.82999992,42897.39,33698,10.5,101,731,35500,33200
Northwestern State University of Louisiana,3,4,Public,Southeast,Remote Town,0.84,22,1007,7026,0.564,0.2919,0.0454,0.006,0.0115,0.0009,0.0312,0.0091,0.2898,16605,5075,5898,0.9873,0.4023,0.3739,0.7182,0.298,12.6,14000,23500,10586,0.850000024,0.74000001,23.13999939,40802.33,27444.5,16.52000046,559,3193,35000,30100
Northwestern University,3,4,Private,Great Lakes,Small City,0.1532,33,1458,8855,0.5432,0.0567,0.0966,0.1704,0.0026,0,0.0473,0.0688,0.0448,60729,34438,14525,0.845,0.1416,0.9419,0.9769,0.0626,1.3,18234,19200,12497.5,0.980000019,0.230000004,21.5,93582.8,71885.5,6,161,1672,78000,58100
Northwood University-Michigan,3,4,Private,Great Lakes,Small City,0.6538,22,1029,2920,0.6952,0.1014,0.0455,0.0079,0.0031,0.0051,0.0127,0.0284,0.3654,32803,5977,6534,1,0.3353,0.5414,0.8328,0.4399,9.6,18750,23474.5,13988.5,0.949999988,0.519999981,25.45999908,63920.59,49456,7.949999809,207,1958,45500,40800
Norwich University,3,4,Private,New England,Distant Town,0.6349,24,1065,2432,0.8117,0.0308,0.0567,0.0284,0.0152,0.0037,0.0173,0.0115,0.0859,47341,6331,7147,0.5088,0.2628,0.5672,0.7496,0.1026,5.2,23000,27000,12000,0.980000019,0.379999995,20.01000023,88756.18,84597,5.829999924,59,823,46200,43800
Notre Dame College,3,4,Private,Great Lakes,Large Suburb,0.9024,20,943,1792,0.6496,0.2215,0.0167,0.0156,0.0045,0.0045,0.0151,0.0257,0.2333,36250,5431,4881,0.9828,0.3493,0.387,0.6026,0.2539,7.9,12750,27000,10500,0.99000001,0.389999986,26.62999916,59620.25,47506,8.210000038,36,293,40000,39400
Notre Dame de Namur University,3,4,Private,Far West,Large Suburb,0.872,20,972,1209,0.2647,0.0571,0.3408,0.1199,0.0066,0.0256,0.0438,0.0389,0.3168,47115,6654,8084,0.2827,0.4201,0.4792,0.7692,0.3454,5.4,18750,27000,15750,0.970000029,0.469999999,24.44000053,72776,55277,5.710000038,46,338,51600,47500
Notre Dame of Maryland University,3,4,Private,Mid-Atlantic,Large City,0.4964,22,1036,1220,0.5738,0.2828,0.0557,0.0541,0.0098,0.0041,0,0.0123,0.5697,41871,10035,7064,0.3776,0.3024,0.5283,0.7188,0.6175,5.2,21732.5,27500,13889.5,0.949999988,0.430000007,27.38999939,69516.08,56669,6.710000038,42,394,47900,45600
Nova Southeastern University,3,4,Private,Southeast,Large Suburb,0.5746,24,1084,5053,0.3129,0.2098,0.3101,0.0657,0.0028,0.0016,0.0154,0.0501,0.3168,40783,10921,9482,0.4052,0.4424,0.4049,0.7112,0.3398,3.5,19482,26500,13550,0.920000017,0.560000002,27.12000084,45894.94,31833,9.199999809,286,1935,50400,42300
Nyack College,3,4,Private,Mid-Atlantic,Large Suburb,0.9671,20,915,1818,0.236,0.2932,0.2761,0.099,0.0039,0.0033,0.0226,0.0468,0.1678,34586,7721,6525,0.4886,0.5544,0.4276,0.7106,0.343,9.1,15750,27000,12500,0.959999979,0.589999974,29.56999969,55832,44111,13.5,194,1012,44500,39200
Oakland University,3,4,Public,Great Lakes,Large Suburb,0.66,23,1070,16113,0.7663,0.0827,0.0276,0.0419,0.0033,0.0012,0.0243,0.0111,0.2427,19198,7570,8482,0.5282,0.2034,0.4295,0.7814,0.206,6.2,18250,25000,12270,0.939999998,0.5,22.19000053,68721.79,56986,5.739999771,291,2518,41500,37900
Oakwood University,3,4,Private,Southeast,Mid-size City,0.3435,20,924,1854,0.0102,0.8495,0.0237,0.0016,0.0038,0,0,0.082,0.0453,34705,7656,5307,1,0.5066,0.3632,0.7876,0.1472,10.7,22000,30500,18500,0.939999998,0.689999998,21.22999954,54196.14,42094.5,10.61999989,65,430,32300,27300
Oberlin College,3,4,Private,Great Lakes,Fringe Town,0.3041,30,1354,2894,0.6952,0.0549,0.0729,0.0422,0.001,0.0003,0.0546,0.0681,0.0135,59683,27620,9872,0.8982,0.1072,0.8857,0.9341,0.0021,2,23250,25217,12375,0.99000001,0.280000001,19.36000061,112508.35,97279,6.400000095,76,491,36700,33200
Occidental College,3,4,Private,Far West,Large City,0.4239,29,1303,2101,0.515,0.0447,0.158,0.1285,0.0024,0.0019,0.0909,0.0371,0.0057,60655,16465,10402,0.7273,0.2131,0.8777,0.9302,0.0042,2.2,20900,21500,12000,0.920000017,0.430000007,19.61000061,86871.68,67714.5,8.569999695,43,385,46300,41100
Oglethorpe University,3,4,Private,Southeast,Large Suburb,0.5576,25,1131,1020,0.349,0.1843,0.101,0.0392,0.0029,0,0.0216,0.0461,0.0549,43689,8645,4728,1,0.3979,0.6201,0.7942,0.1109,6.6,18459,27000,11000,0.930000007,0.600000024,22.32999992,62554.51,46214.5,7.289999962,35,243,41100,37600
Ohio Christian University,3,4,Private,Great Lakes,Distant Town,0.9711,20,939,3155,0.5842,0.3078,0.0228,0.0067,0.0041,0,0.0219,0.0041,0.4526,33077,4377,1476,1,0.5686,0.3143,0.6414,0.6811,11.5,10035,27000,9420,0.920000017,0.74000001,28.5,44145.21,35443,9.109999657,29,156,31300,29400
Ohio Dominican University,3,4,Private,Great Lakes,Large City,0.494,22,1028,1483,0.6258,0.263,0.031,0.0115,0.004,0.0013,0.0378,0.0074,0.091,40370,5064,6712,1,0.347,0.4092,0.6617,0.2673,7.4,21081.5,29754.5,10500,0.970000029,0.529999971,24.95000076,62680.61,49137.5,7.300000191,107,1043,39100,35200
Ohio Northern University,3,4,Private,Great Lakes,Fringe Town,0.6785,26,1153,2205,0.854,0.0372,0.0168,0.0122,0.0005,0.0009,0.0322,0.0449,0.0259,49618,12893,8551,0.7583,0.24,0.7175,0.8429,0.0444,2.7,25000,27000,9210,0.99000001,0.330000013,19.96999931,95686.34,89742,5.739999771,50,1103,69500,57500
Ohio State University-Main Campus,3,4,Public,Great Lakes,Large City,0.5553,29,1289,43139,0.7233,0.0598,0.0338,0.0539,0.0016,0.0006,0.0263,0.0743,0.0756,24524,16161,11284,0.6513,0.2224,0.8323,0.9245,0.0844,7.1,17000,22250,9500,0.930000007,0.5,21.04000092,75442.68,65600.5,6.510000229,1032,11887,43800,38900
Ohio University-Main Campus,3,4,Public,Great Lakes,Distant Town,0.7295,24,1104,23331,0.8324,0.0473,0.024,0.0091,0.0017,0.0008,0.0258,0.0442,0.2828,23605,9768,8294,0.6772,0.2339,0.6657,0.7862,0.2772,15,14457,22500,9500,0.930000007,0.529999971,21.93000031,73621.04,62815,7.820000172,836,7067,38900,35800
Ohio Wesleyan University,3,3,Private,Great Lakes,Large Suburb,0.7533,25,1123,1817,0.7226,0.0611,0.0457,0.0264,0.0017,0,0.0413,0.0748,0.005,52819,13181,8057,0.6897,0.2177,0.6319,0.8007,0.0098,5.1,22192,27000,9500,0.99000001,0.349999994,19.5,101638.12,87265,5.320000172,35,458,40300,36500
Oklahoma Baptist University,3,4,Private,Southwest,Distant Town,0.5646,24,1098,1882,0.7056,0.0489,0.0473,0.0069,0.0484,0.0021,0.0744,0.0345,0.0244,31759,6372,6090,0.6667,0.3326,0.546,0.7406,0.1228,5.7,12000,24896,7208,0.910000026,0.519999981,20.61000061,67085.53,58859,8.270000458,56,508,35900,34100
Oklahoma Christian University,3,4,Private,Southwest,Large City,0.6321,25,1124,1949,0.8784,0.0385,0.0282,0.0334,0.0215,0,0,0,0.0431,29359,8096,6581,1,0.2707,0.4875,0.8506,0.0418,6.3,15331,25250,11000,0.959999979,0.50999999,20.10000038,78247.94,70327,7.46999979,95,674,36400,33200
Oklahoma City University,3,4,Private,Southwest,Large City,0.7198,26,1163,1954,0.5773,0.0619,0.0793,0.0205,0.0271,0,0.0681,0.1612,0.1024,41431,12581,7055,0.6104,0.1991,0.6075,0.8145,0.1634,7.8,19749,24168,13500,0.939999998,0.400000006,24.01000023,66323.91,52723,9.020000458,69,568,44400,37000
Oklahoma Panhandle State University,3,3,Public,Southwest,Distant Rural,0.4767,19,890,1238,0.6365,0.1002,0.1575,0.0081,0.038,0,0.0202,0.0121,0.1648,15439,5257,4967,0.6344,0.4554,0.2264,0.6286,0.2335,16.2,9375,18154,5875,0.790000021,0.75999999,22.62000084,42766.16,33556,10.81000042,59,493,35300,32300
Oklahoma State University-Main Campus,3,4,Public,Southwest,Distant Town,0.7602,25,1138,20314,0.7222,0.05,0.0472,0.0153,0.0609,0.0001,0.0693,0.028,0.1264,21338,8346,8254,0.8686,0.2914,0.5956,0.7861,0.1273,8,14750.5,20500,9500,0.899999976,0.569999993,21.39999962,67548.85,52462,9.010000229,553,5190,46000,39800
Oklahoma Wesleyan University,3,4,Private,Southwest,Distant Town,0.4934,21,981,1110,0.6757,0.0721,0.0712,0.0027,0.0712,0.0018,0.0351,0.0532,0.4856,32241,6127,5309,0.3077,0.4207,0.5688,0.5036,0.4769,7.4,16664,23166,8332,0.930000007,0.540000021,29.70999908,61956.88,53772,9.260000229,45,439,49900,46700
Old Dominion University,3,4,Public,Southeast,Mid-size City,0.7679,21,1016,19483,0.5207,0.2588,0.0662,0.0443,0.0043,0.0048,0.0551,0.0123,0.2275,20531,8097,8729,0.9663,0.3395,0.5117,0.7956,0.2658,6.8,18000,23867,14250,0.939999998,0.540000021,23.12000084,60966.47,48850,7.599999905,390,3899,42800,39200
Olivet College,3,4,Private,Great Lakes,Distant Rural,0.5148,20,927,1016,0.7982,0.1033,0.0561,0.0049,0.0069,0.002,0.0236,0.0039,0.0463,31515,5069,5258,1,0.457,0.4341,0.6397,0.0527,12.1,19000,27000,9500,0.970000029,0.610000014,20.37000084,64499.03,57515,7.099999905,54,552,33600,31000
Olivet Nazarene University,3,4,Private,Great Lakes,Small Suburb,0.8196,24,1105,3325,0.7973,0.1011,0.0559,0.0177,0.0009,0.0015,0.015,0.0087,0.1269,39125,4740,6769,0.3516,0.3164,0.5724,0.7541,0.1832,4.7,19802,25250,10500,0.949999988,0.460000008,22.75,76119.58,68140,6.739999771,92,990,38700,33900
Oral Roberts University,3,4,Private,Southwest,Large City,0.4354,23,1037,2884,0.5201,0.1488,0.0752,0.0229,0.0329,0,0.0395,0.0579,0.1273,35070,7486,6551,0.6367,0.4396,0.5336,0.8056,0.1363,10.8,22500,27000,17016,0.970000029,0.550000012,21.82999992,66075.88,53889,7.809999943,124,924,36100,32200
Oregon Institute of Technology,3,4,Public,Far West,Remote Town,0.7135,23,1025,3443,0.7511,0.0119,0.0746,0.0561,0.0096,0.0058,0.0485,0.0105,0.323,18801,9094,6667,0.8969,0.3621,0.444,0.7423,0.3864,5.1,18333.5,26067,12000,0.930000007,0.610000014,24.70999908,49667.8,38541,9.420000076,117,934,49800,48100
Oregon State University,3,4,Public,Far West,Small City,0.7894,24,1102,22349,0.6897,0.0128,0.0733,0.0662,0.0069,0.0042,0.0575,0.057,0.1893,22974,10145,8692,0.7417,0.3339,0.6147,0.8415,0.1938,5,16846,23166,11386,0.939999998,0.560000002,21.57999992,66705.26,54955,7.5,437,4362,46400,41600
Otis College of Art and Design,3,4,Private,Far West,Large City,0.4628,22,1002,1029,0.2235,0.034,0.1331,0.3226,0.0058,0.0029,0.0603,0.1846,0.0136,52397,16683,6936,1,0.4851,0.5731,0.8087,0.157,10.2,26500,27000,14000,0.939999998,0.660000026,21.75,61484.47,36748,9.460000038,72,331,45400,42400
Otterbein University,3,4,Private,Great Lakes,Large Suburb,0.7374,24,1087,2436,0.8046,0.0628,0.0242,0.0148,0.0029,0.0004,0.0296,0.0218,0.0956,41646,9507,7287,1,0.2546,0.5886,0.7639,0.0867,6.5,22000,27000,10477.5,0.980000019,0.400000006,21.12000084,82698.54,75737,5.78000021,58,895,39600,37100
Ouachita Baptist University,3,3,Private,Southeast,Distant Town,0.7011,24,1090,1513,0.8434,0.08,0.039,0.0106,0.0066,0.0013,0,0.0192,0.0066,31473,8912,4598,1,0.2702,0.6022,0.7631,0.0207,6.6,15000,23500,9375,0.899999976,0.5,19.59000015,82198.04,71658,8.659999847,51,396,36100,34600
Our Lady of the Lake University,3,4,Private,Southwest,Large City,0.6561,18,882,1509,0.116,0.0769,0.729,0.0093,0.006,0.0007,0,0.0106,0.1484,33227,7872,7587,0.3529,0.5714,0.341,0.557,0.3029,9.5,17500,25250,9500,0.930000007,0.74000001,24.79000092,40781.84,31566.5,14.98999977,78,725,37000,35700
Pace University-New York,3,4,Private,Mid-Atlantic,Large City,0.7683,23,1043,7883,0.4784,0.1095,0.1615,0.0908,0.0033,0.0018,0.0355,0.0644,0.102,50625,10191,11627,1,0.3557,0.5146,0.7599,0.1329,5.9,19500,25000,11500,0.939999998,0.49000001,21.48999977,67532.89,50322,9.609999657,296,2843,55200,51000
Pacific Lutheran University,3,4,Private,Far West,Large Suburb,0.7676,25,1112,3062,0.7084,0.0278,0.0709,0.0607,0.0078,0.0052,0.0712,0.0392,0.032,45299,11672,7369,0.8526,0.3086,0.7045,0.8183,0.0971,2.7,22695,27000,10250,0.970000029,0.419999987,21.53000069,76518.77,67839.5,7.090000153,109,1145,45400,42600
